"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 26 13:25:55 GMT 2025","Sat Apr 26 13:25:56 GMT 2025","381","","apiTests.PetUserTests","","apiTests.PetUserTests","checkUserResponseBodyImprovedTest","checkUserResponseBodyImprovedTest()",""
"passed","Sat Apr 26 13:26:01 GMT 2025","Sat Apr 26 13:26:02 GMT 2025","516","","ui.SimpleUITests","","ui.SimpleUITests","openSiteTest","openSiteTest()",""
"passed","Sat Apr 26 13:25:57 GMT 2025","Sat Apr 26 13:25:57 GMT 2025","386","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest","createUserImprovedTest()",""
"broken","Sat Apr 26 13:25:58 GMT 2025","Sat Apr 26 13:26:00 GMT 2025","1476","","ui.SimpleUITests","","ui.SimpleUITests","loginTest","loginTest()",""
"passed","Sat Apr 26 13:25:58 GMT 2025","Sat Apr 26 13:25:58 GMT 2025","352","","apiTests.PetUserTests","","apiTests.PetUserTests","createUser","createUser()",""
"passed","Sat Apr 26 13:25:52 GMT 2025","Sat Apr 26 13:25:54 GMT 2025","2417","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)",""
"passed","Sat Apr 26 13:26:00 GMT 2025","Sat Apr 26 13:26:01 GMT 2025","1597","","ui.SimpleUITests","","ui.SimpleUITests","openWebFormPageTest","openWebFormPageTest()",""
"passed","Sat Apr 26 13:25:56 GMT 2025","Sat Apr 26 13:25:57 GMT 2025","1136","","apiTests.PetUserTests","","apiTests.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Sat Apr 26 13:25:57 GMT 2025","Sat Apr 26 13:25:58 GMT 2025","364","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest3","createUserImprovedTest3()",""
"passed","Sat Apr 26 13:25:55 GMT 2025","Sat Apr 26 13:25:55 GMT 2025","391","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [3] User(id=0, username=chursovg2, firstName=Gena2, lastName=Chursov2, email=mentor.com, password=123qwerty, phone=1231123, userStatus=0)",""
"passed","Sat Apr 26 13:25:54 GMT 2025","Sat Apr 26 13:25:55 GMT 2025","406","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=chursovg, firstName=Gena, lastName=Chursov, email=mentor.com, password=123qwerty, phone=1231123, userStatus=0)",""
"passed","Sat Apr 26 13:25:57 GMT 2025","Sat Apr 26 13:25:57 GMT 2025","382","","apiTests.PetUserTests","","apiTests.PetUserTests","createUserImprovedTest2","createUserImprovedTest2()",""
